SouthAfricaIC2	Total	Male	Female																																																																																																																																																																																																																																																							
1970																																																																																																																																																																																																																																																										
 0-4	0.000000	0.000000	0.000000																																																																																																																																																																																																																																																							
 5-9	0.000000	0.000000	0.000000																																																																																																																																																																																																																																																							
 10-14 	0.000000	0.000000	0.000000																																																																																																																																																																																																																																																							
 15-19 	0.000000	0.000000	0.000000																																																																																																																																																																																																																																																							
 20-24 	0.000000	0.000000	0.000000																																																																																																																																																																																																																																																							
 25-29 	0.000000	0.000000	0.000000																																																																																																																																																																																																																																																							
 30-34 	0.000000	0.000000	0.000000																																																																																																																																																																																																																																																							
 35-39 	0.000000	0.000000	0.000000																																																																																																																																																																																																																																																							
 40-44 	0.000000	0.000000	0.000000																																																																																																																																																																																																																																																							
 45-49 	0.000000	0.000000	0.000000																																																																																																																																																																																																																																																							
 50-54 	0.000000	0.000000	0.000000																																																																																																																																																																																																																																																							
 55-59 	0.000000	0.000000	0.000000																																																																																																																																																																																																																																																							
 60-64 	0.000000	0.000000	0.000000																																																																																																																																																																																																																																																							
 65-69 	0.000000	0.000000	0.000000																																																																																																																																																																																																																																																							
 70-74 	0.000000	0.000000	0.000000																																																																																																																																																																																																																																																							
 75-79 	0.000000	0.000000	0.000000																																																																																																																																																																																																																																																							
 80+ 	0.000000	0.000000	0.000000																																																																																																																																																																																																																																																							
Total	0.000000	0.000000	0.000000																																																																																																																																																																																																																																																							
1971																																																																																																																																																																																																																																																										
 0-4	0.000000	0.000000	0.000000																																																																																																																																																																																																																																																							
 5-9	0.000000	0.000000	0.000000																																																																																																																																																																																																																																																							
 10-14 	0.000000	0.000000	0.000000																																																																																																																																																																																																																																																							
 15-19 	0.000000	0.000000	0.000000																																																																																																																																																																																																																																																							
 20-24 	0.000000	0.000000	0.000000																																																																																																																																																																																																																																																							
 25-29 	0.000000	0.000000	0.000000																																																																																																																																																																																																																																																							
 30-34 	0.000000	0.000000	0.000000																																																																																																																																																																																																																																																							
 35-39 	0.000000	0.000000	0.000000																																																																																																																																																																																																																																																							
 40-44 	0.000000	0.000000	0.000000																																																																																																																																																																																																																																																							
 45-49 	0.000000	0.000000	0.000000																																																																																																																																																																																																																																																							
 50-54 	0.000000	0.000000	0.000000																																																																																																																																																																																																																																																							
 55-59 	0.000000	0.000000	0.000000																																																																																																																																																																																																																																																							
 60-64 	0.000000	0.000000	0.000000																																																																																																																																																																																																																																																							
 65-69 	0.000000	0.000000	0.000000																																																																																																																																																																																																																																																							
 70-74 	0.000000	0.000000	0.000000																																																																																																																																																																																																																																																							
 75-79 	0.000000	0.000000	0.000000																																																																																																																																																																																																																																																							
 80+ 	0.000000	0.000000	0.000000																																																																																																																																																																																																																																																							
Total	0.000000	0.000000	0.000000																																																																																																																																																																																																																																																							
1972																																																																																																																																																																																																																																																										
 0-4	0.000000	0.000000	0.000000																																																																																																																																																																																																																																																							
 5-9	0.000000	0.000000	0.000000																																																																																																																																																																																																																																																							
 10-14 	0.000000	0.000000	0.000000																																																																																																																																																																																																																																																							
 15-19 	0.000000	0.000000	0.000000																																																																																																																																																																																																																																																							
 20-24 	0.000000	0.000000	0.000000																																																																																																																																																																																																																																																							
 25-29 	0.000000	0.000000	0.000000																																																																																																																																																																																																																																																							
 30-34 	0.000000	0.000000	0.000000																																																																																																																																																																																																																																																							
 35-39 	0.000000	0.000000	0.000000																																																																																																																																																																																																																																																							
 40-44 	0.000000	0.000000	0.000000																																																																																																																																																																																																																																																							
 45-49 	0.000000	0.000000	0.000000																																																																																																																																																																																																																																																							
 50-54 	0.000000	0.000000	0.000000																																																																																																																																																																																																																																																							
 55-59 	0.000000	0.000000	0.000000																																																																																																																																																																																																																																																							
 60-64 	0.000000	0.000000	0.000000																																																																																																																																																																																																																																																							
 65-69 	0.000000	0.000000	0.000000																																																																																																																																																																																																																																																							
 70-74 	0.000000	0.000000	0.000000																																																																																																																																																																																																																																																							
 75-79 	0.000000	0.000000	0.000000																																																																																																																																																																																																																																																							
 80+ 	0.000000	0.000000	0.000000																																																																																																																																																																																																																																																							
Total	0.000000	0.000000	0.000000																																																																																																																																																																																																																																																							
1973																																																																																																																																																																																																																																																										
 0-4	0.000000	0.000000	0.000000																																																																																																																																																																																																																																																							
 5-9	0.000000	0.000000	0.000000																																																																																																																																																																																																																																																							
 10-14 	0.000000	0.000000	0.000000																																																																																																																																																																																																																																																							
 15-19 	0.000000	0.000000	0.000000																																																																																																																																																																																																																																																							
 20-24 	0.000000	0.000000	0.000000																																																																																																																																																																																																																																																							
 25-29 	0.000000	0.000000	0.000000																																																																																																																																																																																																																																																							
 30-34 	0.000000	0.000000	0.000000																																																																																																																																																																																																																																																							
 35-39 	0.000000	0.000000	0.000000																																																																																																																																																																																																																																																							
 40-44 	0.000000	0.000000	0.000000																																																																																																																																																																																																																																																							
 45-49 	0.000000	0.000000	0.000000																																																																																																																																																																																																																																																							
 50-54 	0.000000	0.000000	0.000000																																																																																																																																																																																																																																																							
 55-59 	0.000000	0.000000	0.000000																																																																																																																																																																																																																																																							
 60-64 	0.000000	0.000000	0.000000																																																																																																																																																																																																																																																							
 65-69 	0.000000	0.000000	0.000000																																																																																																																																																																																																																																																							
 70-74 	0.000000	0.000000	0.000000																																																																																																																																																																																																																																																							
 75-79 	0.000000	0.000000	0.000000																																																																																																																																																																																																																																																							
 80+ 	0.000000	0.000000	0.000000																																																																																																																																																																																																																																																							
Total	0.000000	0.000000	0.000000																																																																																																																																																																																																																																																							
1974																																																																																																																																																																																																																																																										
 0-4	0.000000	0.000000	0.000000																																																																																																																																																																																																																																																							
 5-9	0.000000	0.000000	0.000000																																																																																																																																																																																																																																																							
 10-14 	0.000000	0.000000	0.000000																																																																																																																																																																																																																																																							
 15-19 	0.000000	0.000000	0.000000																																																																																																																																																																																																																																																							
 20-24 	0.000000	0.000000	0.000000																																																																																																																																																																																																																																																							
 25-29 	0.000000	0.000000	0.000000																																																																																																																																																																																																																																																							
 30-34 	0.000000	0.000000	0.000000																																																																																																																																																																																																																																																							
 35-39 	0.000000	0.000000	0.000000																																																																																																																																																																																																																																																							
 40-44 	0.000000	0.000000	0.000000																																																																																																																																																																																																																																																							
 45-49 	0.000000	0.000000	0.000000																																																																																																																																																																																																																																																							
